name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Addie White,Supervisor Permitting,In-house,Enbridge Gas Inc.,Active,2020-02-19,2020-08-12,50 Keil Drive,,Chatham,ON,Canada,N7M 5M1,50 Keil Drive,,Chatham,ON,Canada,N7M 5M1,Environment,Expired,Providing senior staff with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Salvatore  Annunziata,Principal,Consultant,Para Pro Forma Consulting,Active,2020-02-14,2021-02-14,111 Niagara Blvd,2nd Floor Unit,Fort Erie,ON,Canada,L2A 3G5,"259 Boul Labelle, suite 201",,Rosemère,QC,Canada,J7A 2H3,Transportation,Expired,Student Safety/School Bus Stop Arm Cameras,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Kim Wright,Principal,Consultant,Wright Strategies,Active,2020-02-07,2021-02-07,1 Bloor Street East,Unit 5503,Toronto,ON,Canada,M4W 0A8,121 Boor Street East,Suite 1600,Toronto,ON,Canada,M4W 3M5,Licences/Permits,Expired,Ride-sharing and vehicle for hire regulations.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Kim Wright,Principal,Consultant,Wright Strategies,Active,2020-02-05,2021-02-05,1 Bloor Street East,Unit 5503,Toronto,ON,Canada,M4W 0A8,483 Dundas Street West,Suite 212,Oakville,ON,Canada,L6M 1L9,Planning and Development - Combined Application,Expired,Ongoing discussions regarding Twenty Road project including urban boundary review,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Smith, Janette', 'title': 'City Manager'}]"
George Adams,"Manager Construction, Core Projects",In-house,Enbridge Gas Inc.,Active,2020-02-05,2020-08-12,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,Environment,Expired,"Providing Mayor, Councillors and senior staff with information on Enbridge Gas projects and activities in the City of Hamilton.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Ryan Park,"Sr. Advisor, Environment Core East",In-house,Enbridge Inc.,Active,2020-02-05,2021-02-05,50 Keil Drive,,Chatham,ON,Canada,N7M 5M1,50 Keil Drive,,Chatham,ON,Canada,N7M 5M1,Environment,Expired,"Providing Mayor, Councillors and senior staff with information on Enbridge projects and activities in the City of Hamilton.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Keith Boulton,"Director, Public Affairs & Ombudsman",In-house,Enbridge Gas Inc.,Active,2020-02-04,2020-08-12,500 Consumers Road,,Toronto,ON,Canada,M2J 1P8,500 Consumers Road,,Toronto,ON,Canada,M2J 1P8,Environment,Expired,"Providing Mayor, Councillors and senior staff with information on Enbridge Gas projects and activities in the City of Hamilton.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Cindy Mills,"Manager Municipal, Indigenous & Stakeholder Affairs",In-house,Enbridge Gas Inc.,Active,2020-02-01,2021-02-01,500 Consumers Rd.,,North York,ON,Canada,M2J 1P8,500 Consumers Rd.,,North York,ON,Canada,M2J 1P8,Environment,Expired,Providing senior staff with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Cindy Mills,"Manager Municipal, Indigenous & Stakeholder Affairs",In-house,Enbridge Gas Inc.,Active,2020-02-01,2021-02-01,500 Consumers Rd.,,North York,ON,Canada,M2J 1P8,500 Consumers Rd,,North York,ON,Canada,M2J 1P8,Environment,Expired,Providing Mayor and Councillors with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Ribaric, Robert', 'title': 'Administrative Assistant'}, {'name': 'DiGiantomasso, Christine', 'title': 'Assistant'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}]"
Kevin Whyte,"Director, Government Relations",Consultant,Sutherland Corp Ltd.,Active,2020-01-16,2021-01-16,"8500 Leslie Street, 390",390,Markham,ON,Canada,L3T 7M8,259 Boul Labelle #201,,Rosemère,QC,Canada,J7A 2H3,Transportation,Expired,"Looking to bring school bus enforcement technology to school buses in Hamilton to ultimately improve safety for students, move towards Vision Zero goals, and properly enforce highway traffic act laws.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}]"
Katharine Holtforster,Administrative Assistant,In-house,Enbridge Gas Inc,Active,2020-01-15,2021-01-15,918 South Service Road,,Stoney Creek,ON,Canada,L8E5M4,918 South Service Road,,Stoney Creek,ON,Canada,L8E5M4,Environment,Expired,Arranging meetings on behalf of Enbridge Gas staff with elected officials and their staff.,"[{'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'DiGiantomasso, Christine', 'title': 'Assistant'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Prince, Kristin', 'title': 'Administrative Assistant'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Bishop, Kathy', 'title': 'Executive Assistant'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Dinney, Kathy', 'title': 'Executive Assistant'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Ribaric, Robert', 'title': 'Administrative Assistant'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Finelli, Lucy', 'title': 'Administrative Assistant'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Piedimonte, Diane', 'title': 'Administrative Assistant'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Scally, Maureen', 'title': 'Administrative Assistant'}, {'name': 'Leverton, Ryan', 'title': 'Administrative Assistant'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Bates, Samantha', 'title': 'Administrative Assistant'}, {'name': 'Coffey, Jackie', 'title': 'Administrative Assistant'}, {'name': 'Drysdale, Arlene', 'title': 'Administrative Assistant'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}]"
Mark Murray,"Supervisor, Permitting",In-house,Enbridge Gas Inc.,Active,2019-12-04,2020-08-12,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,Environment,Expired,Providing senior staff with information on Enbridge Gas Inc. projects and activities in the City of Hamilton,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Murray Costello,,In-house,Enbridge Gas Inc,,2019-12-04,2020-12-04,,,,,,,603 Kumpf Drive,,Waterloo,ON,Canada,N2J 4A4,Environment,Expired,Providing senior staff and mayor with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}]"
Brian Buckle,"Chairman, Board of Directors",Volunteer,13th Battalion Auchmar Heritage Trust,Active,2019-12-03,2020-12-03,12-25 Rochelle St,,Hamilton,ON,Canada,L8W 1P9,12-25 Rochelle St,,Hamilton,ON,Canada,L8W 1P9,Planning and Development - Heritage,Expired,"Discussing a new proposal for 88 Fennell Avenue West, between The City,  Auchmar Trust and The RHLI Heritage Museum.","[{'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
